Date,Open,High,Low,Close*,Adj Close**,Volume
"Feb 24, 2020","3,257.61","3,259.81","2,855.84","2,954.22","2,954.22","31,535,270,000"
"Feb 17, 2020","3,369.04","3,393.52","3,328.45","3,337.75","3,337.75","15,253,460,000"
"Feb 10, 2020","3,318.28","3,385.09","3,317.77","3,380.16","3,380.16","18,033,560,000"
"Feb 03, 2020","3,235.66","3,347.96","3,235.66","3,327.71","3,327.71","19,469,980,000"
"Jan 27, 2020","3,247.16","3,293.47","3,214.68","3,225.52","3,225.52","19,249,400,000"
"Jan 20, 2020","3,321.03","3,337.77","3,281.53","3,295.47","3,295.47","15,197,180,000"
"Jan 13, 2020","3,271.13","3,329.88","3,268.43","3,329.62","3,329.62","18,071,600,000"
"Jan 06, 2020","3,217.55","3,282.99","3,214.64","3,265.35","3,265.35","17,666,700,000"
"Dec 30, 2019","3,240.09","3,258.14","3,212.03","3,234.85","3,234.85","12,826,640,000"
"Dec 23, 2019","3,226.05","3,247.93","3,220.51","3,240.02","3,240.02","8,946,500,000"
"Dec 16, 2019","3,183.63","3,225.65","3,183.63","3,221.22","3,221.22","22,078,130,000"
"Dec 09, 2019","3,141.86","3,182.68","3,126.09","3,168.80","3,168.80","17,669,880,000"
"Dec 02, 2019","3,143.85","3,150.60","3,070.33","3,145.91","3,145.91","17,452,390,000"
"Nov 25, 2019","3,117.44","3,154.26","3,117.44","3,140.98","3,140.98","12,883,230,000"
"Nov 18, 2019","3,117.91","3,127.64","3,091.41","3,110.29","3,110.29","18,008,990,000"
"Nov 11, 2019","3,080.33","3,120.46","3,075.82","3,120.46","3,120.46","16,622,540,000"
"Nov 04, 2019","3,078.96","3,097.77","3,065.89","3,093.08","3,093.08","20,734,960,000"
"Oct 28, 2019","3,032.12","3,066.95","3,023.19","3,066.91","3,066.91","18,956,670,000"
"Oct 21, 2019","2,996.48","3,027.39","2,991.21","3,022.55","3,022.55","17,251,350,000"
"Oct 14, 2019","2,965.81","3,008.29","2,962.94","2,986.20","2,986.20","15,500,580,000"
"Oct 07, 2019","2,944.23","2,993.28","2,892.66","2,970.27","2,970.27","15,821,120,000"
"Sep 30, 2019","2,967.07","2,992.53","2,855.94","2,952.01","2,952.01","17,212,640,000"
"Sep 23, 2019","2,983.50","3,007.98","2,945.53","2,961.79","2,961.79","16,694,510,000"
"Sep 16, 2019","2,996.41","3,021.99","2,978.57","2,992.07","2,992.07","20,728,050,000"
"Sep 09, 2019","2,988.43","3,020.74","2,957.01","3,007.39","3,007.39","19,633,130,000"
