,Returns
3552,-0.07042253521126761
229,-0.6118569220578495
12137,-0.33537117903930125
20298,0.38204724409448826
24992,0.5278422273781904
17834,0.13559322033898305
8782,0.11408263448557988
25563,-0.01546391752577305
9000,-0.12359550561797754
16101,-0.06405826874591464
20353,-0.39641596524572353
21928,-0.29610767551837025
23890,0.6541666666666666
5721,-0.18605622042861114
19423,0.10239520958083838
26856,0.22600619195046454
21306,-0.07248520710059184
22291,2.564556962025317
26830,-0.14545454545454542
12277,0.39664804469273746
11228,0.2951224531796665
18351,-0.006483689015526017
1083,0.27477851605758596
10897,-0.23780487804878045
21055,0.1475485661424608
27610,-0.08487204405571755
11707,0.026285714285714336
13582,-0.26361445783132537
18265,0.0262824572514249
12418,0.34607881388997275
19684,-0.22111269614835957
18354,1.313051555968416
21367,-0.06797949824656065
16516,-0.07228250873643553
18871,-0.13979511426319943
11996,0.5843676618584366
15447,0.4946004319654428
6585,0.5239477503628448
3802,0.5767350928641249
16412,0.352260778128286
14925,0.24450867052023123
15268,0.1441391688526853
12095,-0.22325581395348829
16086,0.22965594368791525
4952,-0.08910891089108915
12951,0.014229422066549882
2257,-0.12803532008830015
1075,0.16925363276089828
24441,-0.48866429937175637
6915,0.4292572719570744
24104,0.4276985743380854
17780,0.08161648177496048
18247,0.45222222222222225
20140,1.2424242424242422
16248,0.054743729552889815
22946,-0.4166647841507217
3098,0.5317073170731708
11035,-0.31154929577464785
3428,-0.5018559762435041
7447,0.7387862796833775
780,0.1264097744360901
19772,0.5424528301886794
20514,0.3684210526315789
23154,0.6445182724252494
10847,0.5689204333208816
1678,1.50314465408805
23153,0.5450643776824035
28022,0.2721712538226299
18131,0.78470080197409
1207,0.05221174764321964
1668,-0.20665174782004786
1041,0.6864638367644378
17545,-0.8429423459244533
26337,0.1092236230922363
27221,-0.6515550869794412
29259,0.03334559684270367
24669,-0.4382402707275804
9529,1.9302884615384612
2375,0.5345199568500539
27515,-0.2982005141388175
8436,-0.20883202641353701
5628,0.4608043626448534
19763,0.09241432422025422
4051,0.5308720560152769
15020,-0.21261415525114155
21752,0.15141900229155644
6985,0.40625000000000006
25937,-0.0633850303438975
13390,0.26656604508496035
19021,-0.2678539305630509
14344,-0.09626290533662932
22714,0.11680790960451973
12784,-0.4566556813297034
7193,-0.49137931034482757
3963,1.0395876288659793
16126,-0.5965648854961831
16356,-0.3909012875536481
29496,-0.2505720823798627
28426,0.23575989782886345
18612,-0.2282238442822385
18751,0.4640624999999998
13753,-0.06052393857271911
10747,0.3084112149532709
20436,-0.5233611010503441
25876,0.1666802212101498
22509,2.8063423110338834
9944,0.11121559240895884
10692,-0.26808009422850415
19334,-0.16376750106067023
28441,0.30193740685543974
2730,-0.8143712574850299
13843,0.03846153846153849
4161,0.22206095791001457
18561,-0.7362932061978545
25769,-0.039978243132989005
8596,0.17926255230125515
12998,0.08192090395480227
20548,0.234338061465721
28984,-0.4406328759451134
1437,-0.09120092188657501
9398,0.38756345177664986
1340,0.08196721311475418
21118,-0.012021857923497399
22574,0.7018132975151108
21537,0.3994884910485933
29059,2.1306990881458967
6656,0.3341243943439137
13600,0.2759702725020646
17413,-0.312436974789916
22526,-0.009315068493150778
20286,-0.7027027027027027
7823,0.4727272727272729
2393,-0.15457658779576577
27761,-0.34746562081119997
19415,-0.28854625550660795
14319,0.8067226890756303
28393,-0.22740076824583857
22642,0.1258521237545883
14520,-0.11358811040339706
7552,0.023674242424242424
24519,0.1657629744384199
28888,1.4604316546762592
4422,-0.3541224291694474
28473,-0.45949586299788336
21287,3.186893203883495
14120,-0.6922416261093616
26822,0.2369230769230768
12110,0.05262913199125944
1661,0.07749708511465214
22017,-0.375
5072,0.6552190373174691
8937,0.07608695652173908
16097,0.05357885357885364
15973,-0.300434013824144
17884,-0.06310559006211178
14027,1.3114503816793894
9553,0.2532188841201717
1918,0.5486591695501729
25815,0.8131578947368421
1916,0.15168067226890752
1651,0.0678656260604004
27030,-0.2438162544169612
14646,-0.31576556110858706
5958,1.04995287464656
