,Ticker1,Open1,Date1,Volume1,Ticker2,Open2,Date2,Volume2
11781,ESI,11.46,2018-06-30,2541162.0,ESI,10.51,2019-06-30,2554614.0
11782,ESI,12.57,2018-09-30,2014041.0,ESI,10.36,2019-09-30,1949238.0
11783,ESI,10.24,2018-12-31,1983761.0,ESI,11.43,2019-12-31,1341807.0
11784,ESI,10.2,2019-03-31,2135367.0,ESI,8.21,2020-03-31,2098210.0
11785,ESI,10.51,2019-06-30,2554614.0,ESI,10.53,2020-06-30,3392918.0
11786,ESI,10.36,2019-09-30,1949238.0,ESI,10.29,2020-09-30,1855276.0
11787,ESI,11.43,2019-12-31,1341807.0,ESI,17.75,2020-12-31,958290.0
11788,ESI,8.21,2020-03-31,2098210.0,ESI,18.51,2021-03-31,1234310.0
11789,ESI,10.53,2020-06-30,3392918.0,ESI,23.11,2021-06-30,964599.0
11790,ESI,10.29,2020-09-30,1855276.0,ESI,,,
11791,ESI,17.75,2020-12-31,958290.0,ESI,,,
11792,ESI,18.51,2021-03-31,1234310.0,ESI,,,
11793,ESI,23.11,2021-06-30,964599.0,ESI,,,
11794,ESL,75.42,2016-09-30,155457.0,ESL,90.45,2017-09-30,222525.0
11795,ESL,90.75,2016-12-31,120367.0,ESL,75.35,2017-12-31,168828.0
11796,ESL,85.6,2017-03-31,142221.0,ESL,72.95,2018-03-31,241822.0
11797,ESL,94.5,2017-06-30,71440.0,ESL,73.1,2018-06-30,103303.0
11798,ESL,90.45,2017-09-30,222525.0,ESL,91.75,2018-09-30,140838.0
11799,ESL,75.35,2017-12-31,168828.0,ESL,121.55,2018-12-31,346997.0
11800,ESL,72.95,2018-03-31,241822.0,ESL,,,
11801,ESL,73.1,2018-06-30,103303.0,ESL,,,
11802,ESL,91.75,2018-09-30,140838.0,ESL,,,
11803,ESL,121.55,2018-12-31,346997.0,ESL,,,
11804,ESP,25.27,2016-09-30,405.0,ESP,22.22,2017-09-30,1744.0
11805,ESP,25.65,2016-12-31,1783.0,ESP,24.15,2017-12-31,2344.0
